model_type,data_profile,median_mse,std_dev_mse,cv_mse,leakage_rate,lambda_reg,window_size,n_layers,lag,base_seed,reservoir_size,spectral_radius,sparsity
Classical_ESN,ARMA_1_2_stochastic,0.42517502787241146,0.5406080683047975,1.2714953439528571,0.1,1e-08,10,,,2025,150.0,0.9,0.2
Classical_ESN,ARMA_1_2_stochastic,0.39268130378009514,1.0664399335930985,2.715789937863489,0.3,1e-08,10,,,2025,150.0,0.9,0.2
Classical_ESN,ARMA_1_2_stochastic,0.31564080162047325,0.2746902222412618,0.8702620853546987,0.5,1e-08,10,,,2025,150.0,0.9,0.2
Classical_ESN,ARMA_1_2_stochastic,0.07734737268257381,0.32035843907570916,4.141814103892441,0.7,1e-08,10,,,2025,150.0,0.9,0.2
Classical_ESN,ARMA_1_2_stochastic,0.09723107580482028,0.07121482754105783,0.7324286700685392,0.9,1e-08,10,,,2025,150.0,0.9,0.2
Classical_ESN,ARMA_1_2_stochastic,6.571351531252138,20.244933068142913,3.0807868019024305,0.1,1e-08,10,,,2025,150.0,1.1,0.1
Classical_ESN,ARMA_1_2_stochastic,0.16083475937114378,0.19009846883879752,1.1819489119272069,0.3,1e-08,10,,,2025,150.0,1.1,0.1
Classical_ESN,ARMA_1_2_stochastic,0.04652372241791332,0.03574974670891271,0.7684197405310751,0.5,1e-08,10,,,2025,150.0,1.1,0.1
Classical_ESN,ARMA_1_2_stochastic,0.018402670974925338,0.0155419845245072,0.8445504756175893,0.7,1e-08,10,,,2025,150.0,1.1,0.1
Classical_ESN,ARMA_1_2_stochastic,0.011669509742710173,0.010809559485126744,0.9263079361049739,0.9,1e-08,10,,,2025,150.0,1.1,0.1
Classical_ESN,ARMA_1_2_stochastic,4.1268859759968795,13.633913951349028,3.303680797251893,0.1,1e-08,10,,,2025,150.0,1.1,0.2
Classical_ESN,ARMA_1_2_stochastic,0.14859306577390932,0.13557218146739905,0.9123721942292913,0.3,1e-08,10,,,2025,150.0,1.1,0.2
Classical_ESN,ARMA_1_2_stochastic,0.04106328219672841,0.026510112226430287,0.6455916528889256,0.5,1e-08,10,,,2025,150.0,1.1,0.2
Classical_ESN,ARMA_1_2_stochastic,0.01882105621109166,0.012190889435562036,0.647726105210699,0.7,1e-08,10,,,2025,150.0,1.1,0.2
Classical_ESN,ARMA_1_2_stochastic,0.012885619643023444,0.004164114145255296,0.32315979057397043,0.9,1e-08,10,,,2025,150.0,1.1,0.2
Classical_ESN,ARMA_1_2_stochastic,16.290412140005316,135.80316061819298,8.336385810933121,0.1,1e-08,10,,,2025,150.0,1.25,0.1
Classical_ESN,ARMA_1_2_stochastic,0.11909876213628208,0.073270937430905,0.6152115783291071,0.3,1e-08,10,,,2025,150.0,1.25,0.1
Classical_ESN,ARMA_1_2_stochastic,0.02675197893243369,0.017441302362657254,0.6519630718425726,0.5,1e-08,10,,,2025,150.0,1.25,0.1
Classical_ESN,ARMA_1_2_stochastic,0.01258615038861823,0.011451175397010517,0.9098234999135175,0.7,1e-08,10,,,2025,150.0,1.25,0.1
Classical_ESN,ARMA_1_2_stochastic,0.010073285855933756,0.0012219766757003857,0.12130864676897557,0.9,1e-08,10,,,2025,150.0,1.25,0.1
Classical_ESN,ARMA_1_2_stochastic,8.9898361221386,41.78124395090554,4.6476090757665744,0.1,1e-08,10,,,2025,150.0,1.25,0.2
Classical_ESN,ARMA_1_2_stochastic,0.12784189510935903,0.0766366243863351,0.599464082731082,0.3,1e-08,10,,,2025,150.0,1.25,0.2
Classical_ESN,ARMA_1_2_stochastic,0.016903648640115235,0.018597372900849656,1.1001987379644727,0.5,1e-08,10,,,2025,150.0,1.25,0.2
Classical_ESN,ARMA_1_2_stochastic,0.012002902143308116,0.004364158178079452,0.3635919151863257,0.7,1e-08,10,,,2025,150.0,1.25,0.2
Classical_ESN,ARMA_1_2_stochastic,0.009735054657851036,0.0007490019474101757,0.07693864839332233,0.9,1e-08,10,,,2025,150.0,1.25,0.2
QRC,NARMA10_Chaotic,0.01348692436700817,5.597737162417045e-17,4.150491995128465e-15,0.1,1e-08,1,1.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.013486924367008178,4.927680711710537e-17,3.6536726814933945e-15,0.1,1e-08,1,2.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.013486924367008182,2.946245615942639e-17,2.184520010470117e-15,0.1,1e-08,1,4.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.011222422573279676,0.0004600084261149944,0.04099011805260868,0.1,1e-08,2,1.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.0112023192616163,6.91625243263606e-05,0.006173946904311103,0.1,1e-08,2,2.0,0.0,2025,,,
