model_type,data_profile,median_mse,std_dev_mse,cv_mse,leakage_rate,lambda_reg,window_size,n_layers,lag,base_seed,reservoir_size,spectral_radius,sparsity
Classical_ESN,NARMA5_Chaotic,0.012058106617656201,0.00037691600665872124,0.03125830767716204,0.9,1e-08,10,,,2025,50.0,1.1,0.2
Classical_ESN,NARMA5_Chaotic,0.012581555501319215,0.0002663308243248426,0.021168354286313563,0.1,1e-08,10,,,2025,50.0,1.25,0.1
Classical_ESN,NARMA5_Chaotic,0.012532967825168604,0.00019932409085396112,0.01590398169328099,0.3,1e-08,10,,,2025,50.0,1.25,0.1
Classical_ESN,NARMA5_Chaotic,0.01227481458015542,0.00015004003933451602,0.012223405767536756,0.5,1e-08,10,,,2025,50.0,1.25,0.1
Classical_ESN,NARMA5_Chaotic,0.012154412802096108,0.00010811424842728503,0.008895061422353535,0.7,1e-08,10,,,2025,50.0,1.25,0.1
Classical_ESN,NARMA5_Chaotic,0.012330868625927818,0.0006517077550697226,0.05285173128025973,0.9,1e-08,10,,,2025,50.0,1.25,0.1
Classical_ESN,NARMA5_Chaotic,0.012498918743524604,0.00512093913054101,0.4097105706198825,0.1,1e-08,10,,,2025,50.0,1.25,0.2
Classical_ESN,NARMA5_Chaotic,0.012531074372002094,0.00039757667767814485,0.03172726183530135,0.3,1e-08,10,,,2025,50.0,1.25,0.2
Classical_ESN,NARMA5_Chaotic,0.012234027889972361,0.00043413917841768964,0.03548620146383126,0.5,1e-08,10,,,2025,50.0,1.25,0.2
Classical_ESN,NARMA5_Chaotic,0.012169913291649669,0.0009422886675139379,0.07742772236187459,0.7,1e-08,10,,,2025,50.0,1.25,0.2
Classical_ESN,NARMA5_Chaotic,0.012140129848721782,0.0010786099474105703,0.08884665657214001,0.9,1e-08,10,,,2025,50.0,1.25,0.2
Classical_ESN,NARMA5_Chaotic,0.03503754477545587,0.026942092291484684,0.7689492076042347,0.1,1e-08,10,,,2025,100.0,0.9,0.1
Classical_ESN,NARMA5_Chaotic,0.023452021778554183,0.019987266043990728,0.8522619598736763,0.3,1e-08,10,,,2025,100.0,0.9,0.1
Classical_ESN,NARMA5_Chaotic,0.024089958723011857,0.008671268647857822,0.3599536532030094,0.5,1e-08,10,,,2025,100.0,0.9,0.1
Classical_ESN,NARMA5_Chaotic,0.017979305394243576,0.008331041426799328,0.4633683695848824,0.7,1e-08,10,,,2025,100.0,0.9,0.1
Classical_ESN,NARMA5_Chaotic,0.014926618416066425,0.003587327665220393,0.24033090183099573,0.9,1e-08,10,,,2025,100.0,0.9,0.1
Classical_ESN,NARMA5_Chaotic,0.022160031834875422,0.027599367222513306,1.2454570204667967,0.1,1e-08,10,,,2025,100.0,0.9,0.2
Classical_ESN,NARMA5_Chaotic,0.021165729544910035,0.010868680138041228,0.5135036859929519,0.3,1e-08,10,,,2025,100.0,0.9,0.2
Classical_ESN,NARMA5_Chaotic,0.018252320546740385,0.006072743826492857,0.3327107811273546,0.5,1e-08,10,,,2025,100.0,0.9,0.2
Classical_ESN,NARMA5_Chaotic,0.014234834894971184,0.005067439848742944,0.3559886634535639,0.7,1e-08,10,,,2025,100.0,0.9,0.2
Classical_ESN,NARMA5_Chaotic,0.013584990840504055,0.0014136589776497827,0.10406035559736385,0.9,1e-08,10,,,2025,100.0,0.9,0.2
Classical_ESN,NARMA5_Chaotic,0.01870824829665052,0.010656376518286636,0.5696084608944669,0.1,1e-08,10,,,2025,100.0,1.1,0.1
Classical_ESN,NARMA5_Chaotic,0.01414584510908092,0.0022446607208917464,0.15867985995766257,0.3,1e-08,10,,,2025,100.0,1.1,0.1
Classical_ESN,NARMA5_Chaotic,0.013075709652852782,0.002526391144699406,0.19321254538167362,0.5,1e-08,10,,,2025,100.0,1.1,0.1
Classical_ESN,NARMA5_Chaotic,0.012698067015454303,0.00032306876612674535,0.02544235793790909,0.7,1e-08,10,,,2025,100.0,1.1,0.1
Classical_ESN,NARMA5_Chaotic,0.012458771219453654,0.0003893956097714656,0.03125473635501443,0.9,1e-08,10,,,2025,100.0,1.1,0.1
Classical_ESN,NARMA5_Chaotic,0.016445757824996576,0.006916616116744684,0.4205714440371874,0.1,1e-08,10,,,2025,100.0,1.1,0.2
Classical_ESN,NARMA5_Chaotic,0.01551268233422624,0.002128204314132766,0.13719125218191475,0.3,1e-08,10,,,2025,100.0,1.1,0.2
Classical_ESN,NARMA5_Chaotic,0.013457461889211625,0.0010053661460946307,0.07470696587300742,0.5,1e-08,10,,,2025,100.0,1.1,0.2
Classical_ESN,NARMA5_Chaotic,0.012604545975158813,0.0008481657396446797,0.0672904634023514,0.7,1e-08,10,,,2025,100.0,1.1,0.2
Classical_ESN,NARMA5_Chaotic,0.012530578936451365,0.00024992112112133823,0.019944898187770038,0.9,1e-08,10,,,2025,100.0,1.1,0.2
Classical_ESN,NARMA5_Chaotic,0.015253994595471485,0.01651690797745661,1.0827923055879443,0.1,1e-08,10,,,2025,100.0,1.25,0.1
Classical_ESN,NARMA5_Chaotic,0.013139435509045897,0.0014757183960233343,0.11231216097581742,0.3,1e-08,10,,,2025,100.0,1.25,0.1
Classical_ESN,NARMA5_Chaotic,0.01272656329702128,0.00041996846054297935,0.032999361315499465,0.5,1e-08,10,,,2025,100.0,1.25,0.1
Classical_ESN,NARMA5_Chaotic,0.012479919979542911,0.00045428379302845154,0.03640117835475818,0.7,1e-08,10,,,2025,100.0,1.25,0.1
Classical_ESN,NARMA5_Chaotic,0.01259716766235873,0.0003806507754127211,0.03021717147975523,0.9,1e-08,10,,,2025,100.0,1.25,0.1
Classical_ESN,NARMA5_Chaotic,0.014574345050911897,6.407900863815749,439.6699022447541,0.1,1e-08,10,,,2025,100.0,1.25,0.2
Classical_ESN,NARMA5_Chaotic,0.013533382034229552,0.0007942536856469631,0.05868848478806573,0.3,1e-08,10,,,2025,100.0,1.25,0.2
Classical_ESN,NARMA5_Chaotic,0.012701729157815825,0.0004582192367484904,0.03607534305410156,0.5,1e-08,10,,,2025,100.0,1.25,0.2
Classical_ESN,NARMA5_Chaotic,0.01231230553141194,0.0003144515194411626,0.025539613083748924,0.7,1e-08,10,,,2025,100.0,1.25,0.2
Classical_ESN,NARMA5_Chaotic,0.012234064540759124,0.00040290041542797423,0.03293267042082927,0.9,1e-08,10,,,2025,100.0,1.25,0.2
Classical_ESN,NARMA5_Chaotic,0.08254076429481075,0.04117312778634882,0.4988217414523909,0.1,1e-08,10,,,2025,150.0,0.9,0.1
Classical_ESN,NARMA5_Chaotic,0.05166883110159399,0.0679117594955151,1.3143660897221268,0.3,1e-08,10,,,2025,150.0,0.9,0.1
Classical_ESN,NARMA5_Chaotic,0.05502316646933713,0.03475194657916201,0.631587544103415,0.5,1e-08,10,,,2025,150.0,0.9,0.1
Classical_ESN,NARMA5_Chaotic,0.025806416607745818,0.013340446728618413,0.5169430119412343,0.7,1e-08,10,,,2025,150.0,0.9,0.1
Classical_ESN,NARMA5_Chaotic,0.01744583020237293,0.009316693767994192,0.5340355637948926,0.9,1e-08,10,,,2025,150.0,0.9,0.1
Classical_ESN,NARMA5_Chaotic,0.08371786717000536,0.17248598315021824,2.0603246234158354,0.1,1e-08,10,,,2025,150.0,0.9,0.2
Classical_ESN,NARMA5_Chaotic,0.04004676400370145,0.14650966625152242,3.6584645450499025,0.3,1e-08,10,,,2025,150.0,0.9,0.2
Classical_ESN,NARMA5_Chaotic,0.04907258180770994,0.0532187232556459,1.0844899798462315,0.5,1e-08,10,,,2025,150.0,0.9,0.2
Classical_ESN,NARMA5_Chaotic,0.025449970239188182,0.016820939703850384,0.6609414292339443,0.7,1e-08,10,,,2025,150.0,0.9,0.2
Classical_ESN,NARMA5_Chaotic,0.019129781079909067,0.011530686695431969,0.6027610377382729,0.9,1e-08,10,,,2025,150.0,0.9,0.2
