data_profile,leakage_rate,lambda_reg,window_size,n_layers,lag,beta,gamma,n,tau,dt,T,median_mse_one_step_ahead,median_mse_autonomous,n_points,ar_coeffs,ma_coeffs
Complex_Chaos_(tau=30),0.5,1e-08,7,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.000279019261524141,67.6428852146041,,,
Complex_Chaos_(tau=30),0.5,1e-08,7,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.00027510849474107237,46.19630155410564,,,
Complex_Chaos_(tau=30),0.5,1e-08,8,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0002813171034219703,779.5785417084037,,,
Complex_Chaos_(tau=30),0.5,1e-08,8,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0002561576883882274,180.08945254520276,,,
Complex_Chaos_(tau=30),0.5,1e-08,8,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.00026009565033184524,87.8793628310702,,,
Complex_Chaos_(tau=30),0.5,1e-08,8,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0002566757666536426,55.97398541402985,,,
Complex_Chaos_(tau=30),0.99,1e-08,4,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,1.83283522034308e-05,25.140698607322665,,,
Complex_Chaos_(tau=30),0.99,1e-08,4,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,6.74430432591319e-06,0.20328176438964043,,,
Complex_Chaos_(tau=30),0.99,1e-08,4,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,9.999208794304305e-06,0.13416348357057264,,,
Complex_Chaos_(tau=30),0.99,1e-08,4,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,5.17774417792729e-06,18.630261064162642,,,
Complex_Chaos_(tau=30),0.99,1e-08,5,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,1.5042623200974225e-05,29.821227123622993,,,
Complex_Chaos_(tau=30),0.99,1e-08,5,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,5.146113522036584e-06,14.520712835448016,,,
Complex_Chaos_(tau=30),0.99,1e-08,5,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,7.018137630799496e-06,16.28268870837182,,,
Complex_Chaos_(tau=30),0.99,1e-08,5,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,5.35507271451955e-06,11.90954868851635,,,
Complex_Chaos_(tau=30),0.99,1e-08,6,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,1.808848291463585e-05,91.81802812103926,,,
Complex_Chaos_(tau=30),0.99,1e-08,6,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,4.617003162441564e-06,28.139465559780746,,,
Complex_Chaos_(tau=30),0.99,1e-08,6,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,6.195878939637692e-06,8.950333215232742,,,
Complex_Chaos_(tau=30),0.99,1e-08,6,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,8.53575105749e-06,19.338643110399023,,,
Complex_Chaos_(tau=30),0.99,1e-08,7,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,2.9551333638130224e-05,326.72458799835175,,,
Complex_Chaos_(tau=30),0.99,1e-08,7,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,9.671628137620642e-06,44.09798243316113,,,
Complex_Chaos_(tau=30),0.99,1e-08,7,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,8.211819793479367e-06,16.90721240903439,,,
Complex_Chaos_(tau=30),0.99,1e-08,7,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,5.746717596713209e-06,15.289674513360879,,,
Complex_Chaos_(tau=30),0.99,1e-08,8,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,2.1608437475329532e-05,119.96065710399145,,,
Complex_Chaos_(tau=30),0.99,1e-08,8,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,6.243809498419229e-06,36.94525030919705,,,
Complex_Chaos_(tau=30),0.99,1e-08,8,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,1.0758191666997238e-05,28.351593451317253,,,
Complex_Chaos_(tau=30),0.99,1e-08,8,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,7.060087199243956e-06,14.123079432911494,,,
Hyperchaotic_(tau=100),0.1,1e-08,4,1,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.00600414941312189,6905.0957736570135,,,
Hyperchaotic_(tau=100),0.1,1e-08,4,2,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.005983349132690473,2142.606889372168,,,
Hyperchaotic_(tau=100),0.1,1e-08,4,3,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.005988734152776827,873.0125883194914,,,
Hyperchaotic_(tau=100),0.1,1e-08,4,4,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.0059665636709224255,1983.4845658752167,,,
Hyperchaotic_(tau=100),0.1,1e-08,5,1,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.006182239162895328,5877.730741742592,,,
Hyperchaotic_(tau=100),0.1,1e-08,5,2,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.006175063003551527,2674.295984442916,,,
Hyperchaotic_(tau=100),0.1,1e-08,5,3,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.006184712028839301,1716.876824544093,,,
Hyperchaotic_(tau=100),0.1,1e-08,5,4,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.006170161076963324,1609.7326373901726,,,
Hyperchaotic_(tau=100),0.1,1e-08,6,1,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.006345419389081158,8509.341023650135,,,
Hyperchaotic_(tau=100),0.1,1e-08,6,2,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.006295976540549128,3641.402882871103,,,
Hyperchaotic_(tau=100),0.1,1e-08,6,3,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.006285286132796222,2066.3788171256365,,,
Hyperchaotic_(tau=100),0.1,1e-08,6,4,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.006335014061455623,2364.990586782848,,,
Hyperchaotic_(tau=100),0.1,1e-08,7,1,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.006510085679496852,11299.86683733327,,,
Hyperchaotic_(tau=100),0.1,1e-08,7,2,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.006463824255938858,7669.8503531052875,,,
Hyperchaotic_(tau=100),0.1,1e-08,7,3,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.006463627343536833,3353.0691402440702,,,
Hyperchaotic_(tau=100),0.1,1e-08,7,4,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.006504726438190012,1726.458691061202,,,
Hyperchaotic_(tau=100),0.1,1e-08,8,1,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.006519490511181115,16014.3368846917,,,
Hyperchaotic_(tau=100),0.1,1e-08,8,2,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.006664073973836451,7829.298733096714,,,
Hyperchaotic_(tau=100),0.1,1e-08,8,3,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.006658415024036155,2891.0859292993014,,,
Hyperchaotic_(tau=100),0.1,1e-08,8,4,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.006553892379864715,2222.603769973706,,,
Hyperchaotic_(tau=100),0.5,1e-08,4,1,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.0004995440585858726,758.9525220854612,,,
Hyperchaotic_(tau=100),0.5,1e-08,4,2,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.0004814145002617894,78.87134868980664,,,
Hyperchaotic_(tau=100),0.5,1e-08,4,3,0,0.2,0.1,10.0,100.0,1.0,2000.0,0.00048540386855221043,52.28719901949328,,,
